时间,阶段,事件类型,事件名称,技术领域,技术分类,关键企业,事件描述,影响程度,数据来源
1929-01,萌芽期,技术起源,OCR专利申请,OCR,人工智能技术,Gustav Tauschek,Gustav Tauschek申请OCR专利，通过监测暗和亮的模式来确定文字形状,高,专利文献
1950-01,萌芽期,理论奠基,图灵测试提出,人工智能,人工智能技术,-,Alan Turing提出图灵测试，为NLP和AI奠定理论基础,高,学术论文
1954-01,萌芽期,技术突破,乔治城-IBM机器翻译实验,机器翻译,人工智能技术,IBM,首次展示机器翻译系统，标志着NLP的正式起步,高,学术论文
1966-01,萌芽期,产品发布,ELIZA聊天程序,对话系统,人工智能技术,MIT,Joseph Weizenbaum开发ELIZA，通过模式匹配展示基础对话能力,中,学术论文
1970-01,萌芽期,理论奠基,语义网络提出,知识图谱,数据技术,-,语义网络作为一种表示知识的方法被提出，用于描述概念之间的关系,高,学术论文
1982-01,萌芽期,理论奠基,安全多方计算问题提出,隐私计算,安全技术,-,姚期智教授提出百万富翁问题，奠定安全多方计算理论基础,高,学术论文
1984-01,萌芽期,项目启动,Cyc知识库项目启动,知识图谱,数据技术,MCC,Douglas Lenat设立Cyc项目，收集生活中常识知识并编码集成到本体知识库,中,项目文档
1990-01,萌芽期,技术突破,统计方法兴起,NLP,人工智能技术,-,隐马尔可夫模型(HMM)在语音识别和词性标注中取得显著进展,高,学术论文
1995-01,萌芽期,技术起源,早期自动化工具出现,屏幕抓取,自动化技术,-,早期自动化工具基于屏幕抓取技术，能够模拟用户在计算机上的操作，但缺乏真正的智能和自主性,低,行业报告
2000-01,发展初期,概念提出,RPA一词出现,RPA,自动化技术,-,RPA(Robotic Process Automation)概念首次被提出,中,行业报告
2001-06,发展初期,产品发布,按键精灵发布,桌面自动化,自动化技术,按键精灵,国内早期RPA产品按键精灵出现，标志着中国RPA技术崛起,中,智研咨询报告
2003-01,发展初期,企业成立,Automation Anywhere成立,RPA,自动化技术,Automation Anywhere,AA成立，定下以机器人解放人力、提高生产力的使命,高,企业官网
2003-10,发展初期,技术突破,Word2Vec前驱NNLM,词嵌入,人工智能技术,Yoshua Bengio团队,Bengio团队提出神经网络语言模型(NNLM)，引入词嵌入解决维度灾难,高,学术论文
2005-01,发展初期,企业成立,Blue Prism成立,企业级RPA,自动化技术,Blue Prism,Blue Prism成立，专注于企业级RPA解决方案,高,企业官网
2008-01,发展初期,企业成立,OutSystems成立,低代码平台,开发技术,OutSystems,OutSystems成立，推动低代码开发平台发展,高,企业官网
2010-01,发展初期,技术突破,RPA成为独立技术领域,RPA,自动化技术,-,RPA作为独立技术领域崭露头角，具有更高的灵活性和可配置性,高,行业报告
2010-05,发展初期,技术突破,微软Satori知识图谱,知识图谱,数据技术,Microsoft,微软开始构建Microsoft Satori知识图谱来增强Bing搜索能力,高,企业官网
2011-01,发展初期,企业成立,Mendix成立,低代码平台,开发技术,Mendix,Mendix成立，成为低代码平台领域的重要厂商,高,企业官网
2012-01,发展初期,企业成立,UiPath成立,RPA,自动化技术,UiPath,UiPath在罗马尼亚成立，后成为全球RPA行业领导者之一,高,企业官网
2012-05,发展初期,技术突破,Google Knowledge Graph发布,知识图谱,数据技术,Google,谷歌正式推出Google Knowledge Graph，标志着商业领域对知识图谱技术重视程度达到新高度,高,企业官网
2012-10,发展初期,产品发布,搜狗知立方上线,知识图谱,数据技术,搜狗,搜狗知立方上线，成为国内首个搜索引擎中文知识图谱,中,企业官网
2013-03,快速发展期,产品发布,Docker开源发布,容器技术,云计算技术,Docker Inc,Docker源码开源，容器技术大众化，解决matrix from hell问题,高,企业官网
2013-09,快速发展期,技术突破,Word2Vec发布,词嵌入,人工智能技术,Google,Word2Vec推动词向量普及，大幅提升语义表征效率,高,学术论文
2014-06,快速发展期,产品发布,Kubernetes开源发布,容器编排,云计算技术,Google,Google开源Kubernetes项目，解决Docker容器编排痛点,高,企业官网
2014-08,快速发展期,技术突破,注意力机制提出,深度学习,人工智能技术,-,注意力机制提出，改善了模型对输入序列相关部分的聚焦能力,高,学术论文
2015-01,快速成长期,技术成型,RPA技术真正成型,RPA 1.0,自动化技术,UiPath/AA/Blue Prism,RPA技术真正成型，进入快速发展阶段，辅助性RPA开始部署在个人电脑上,高,行业报告
2015-03,快速成长期,企业成立,弘玑Cyclone成立,国产RPA,自动化技术,弘玑Cyclone,弘玑Cyclone成立，国内RPA厂商开始崛起,中,企业官网
2015-07,快速成长期,技术突破,Kubernetes v1.0发布,容器编排,云计算技术,Google/CNCF,Kubernetes发布v1.0版本，成为CNCF首个托管项目,高,CNCF官网
2015-08,快速成长期,项目启动,阿里巴巴认知图谱项目启动,知识图谱,数据技术,Alibaba,阿里巴巴开始构建电商领域知识图谱认知图谱,中,企业官网
2016-01,快速成长期,企业成立,云扩科技成立,国产RPA,自动化技术,云扩科技,云扩科技成立，推动RPA技术国产化,中,企业官网
2016-04,快速成长期,技术突破,Kubernetes HPA功能,容器编排,云计算技术,CNCF,Kubernetes v1.2引入水平自动扩缩容(HPA)，支持动态调整Pod数量,中,CNCF官网
2016-06,快速成长期,技术突破,联邦学习概念提出,联邦学习,安全技术,Google,Google首次提出联邦学习(Federated Learning)概念，用于解决安卓手机用户数据隐私问题,高,学术论文
2017-01,快速成长期,企业成立,金智维/影刀RPA成立,国产RPA,自动化技术,金智维/影刀RPA,金智维、影刀RPA等国内RPA企业集中成立，市场竞争加剧,中,行业报告
2017-06,快速成长期,技术突破,Transformer架构发布,大语言模型,人工智能技术,Google,Google发布《Attention Is All You Need》论文，提出Transformer架构，成为所有现代大语言模型的核心架构,高,学术论文
2017-09,快速成长期,技术突破,RPA 2.0非辅助型RPA,RPA,自动化技术,-,RPA 2.0阶段，实现端到端自动化，部署在VMS虚拟机上，集中化管理机器人,高,行业报告
2017-12,快速成长期,技术突破,Kubernetes StatefulSet,容器编排,云计算技术,CNCF,Kubernetes v1.5推出StatefulSet，支持有状态应用的持久化部署,中,CNCF官网
2018-06,快速成长期,技术突破,GPT-1发布,大语言模型,人工智能技术,OpenAI,OpenAI发布GPT-1，首个展示生成式预训练+微调范式的模型,高,学术论文
2018-10,快速成长期,技术突破,BERT发布,大语言模型,人工智能技术,Google,Google发布BERT，首个深度双向理解的模型,高,学术论文
2018-11,快速成长期,市场爆发,RPA市场快速增长,RPA平台,自动化技术,UiPath/AA/Blue Prism,RPA市场迅速增长，越来越多企业意识到RPA潜力,高,行业报告
2019-02,快速成长期,技术突破,GPT-2发布,大语言模型,人工智能技术,OpenAI,OpenAI发布GPT-2，参数量达15亿，展示更强的文本生成能力,高,学术论文
2019-06,快速成长期,企业成立,来也科技成立,AI+RPA,自动化技术,来也科技,来也科技成立，专注于AI+RPA融合解决方案,中,企业官网
2020-01,智能融合期,技术突破,RPA 3.0自主性RPA,云原生RPA,自动化技术,-,RPA 3.0阶段，部署在云服务器和SaaS上，实现自动分级、动态负荷平衡、情景感知,高,行业报告
2020-05,智能融合期,技术突破,RAG技术提出,检索增强生成,人工智能技术,Meta(Facebook),Meta首次提出RAG(Retrieval-Augmented Generation)技术，将信息检索与文本生成相结合,高,学术论文
2020-06,智能融合期,技术突破,GPT-3发布,大语言模型,人工智能技术,OpenAI,OpenAI发布GPT-3，参数量达1750亿，展示强大的少样本学习能力,高,学术论文
2020-09,智能融合期,技术融合,RPA+AI融合开始,智能自动化,自动化技术,-,RPA开始融合人工智能和机器学习技术，认知RPA概念兴起,高,行业报告
2020-12,智能融合期,技术突破,低代码平台爆发期,低代码,开发技术,OutSystems/Mendix,全球疫情加速数字化转型，低代码平台市场爆发式增长,高,行业报告
2021-03,智能融合期,技术突破,OCR/NLP集成RPA,智能文档处理,自动化技术,-,OCR、NLP技术与RPA深度融合，实现非结构化数据处理能力,高,行业报告
2022-08,智能融合期,技术突破,Stable Diffusion发布,生成式AI,人工智能技术,Stability AI,Stable Diffusion开源发布，推动AI绘画技术普及,高,企业官网
2022-11,智能融合期,技术突破,ChatGPT发布,大语言模型,人工智能技术,OpenAI,OpenAI发布ChatGPT(GPT-3.5)，引入RLHF技术，引爆全球AI热潮,高,企业官网
2022-12,智能融合期,技术突破,Agentic RPA概念兴起,智能代理,自动化技术,-,Agentic RPA概念兴起，RPA向自主决策、动态适应方向发展,中,行业报告
2023-03,智能融合期,技术突破,GPT-4发布,大语言模型,人工智能技术,OpenAI,OpenAI发布GPT-4，实现多模态理解能力，成为最先进的大语言模型,高,企业官网
2023-06,智能融合期,技术突破,LLM+RPA融合,大语言模型,人工智能技术,OpenAI/UiPath/来也,ChatGPT等大语言模型与RPA深度融合，实现语义理解驱动的智能自动化,高,行业报告
2023-09,智能融合期,技术突破,RPA 4.0认知性RPA,认知自动化,自动化技术,-,RPA 4.0阶段，运用AI、机器学习、NLP等技术，实现非结构化数据处理和智能决策,高,行业报告
2023-10,智能融合期,产品发布,LangChain开源发布,LLM应用框架,开发技术,LangChain,LangChain开源发布，成为最流行的LLM应用开发框架,高,企业官网
2023-12,智能融合期,产品发布,Dify开源发布,LLM应用平台,开发技术,LangGenius,Dify开源LLM应用开发平台发布，简化AI应用开发流程,中,企业官网
2024-01,超自动化期,市场数据,中国RPA市场规模67.9亿元,RPA市场,自动化技术,-,中国RPA市场规模达67.9亿元，同比增长35.8%，RPA与AI、低代码深度融合,高,智研咨询报告
2024-03,超自动化期,产品发布,Claude 3发布,大语言模型,人工智能技术,Anthropic,Anthropic发布Claude 3系列，在多项基准测试中超越GPT-4,高,企业官网
2024-06,超自动化期,技术突破,多模态AI+RPA融合,多模态AI,人工智能技术,-,多模态AI技术与RPA融合，实现图像、语音、视频等多类型数据处理,高,行业报告
2024-09,超自动化期,技术突破,RAG技术成熟,检索增强生成,人工智能技术,-,RAG技术进入混合检索2.0时代，成为企业AI应用的核心基础设施,高,学术论文
2025-01,超自动化期,技术突破,DeepSeek-R1发布,大语言模型,人工智能技术,DeepSeek,DeepSeek-R1发布，中国开创性高性价比大语言模型，带来AI领域地震式转变,高,企业官网
2025-03,超自动化期,技术突破,Hyperautomation超自动化,超自动化,自动化技术,-,Hyperautomation超自动化时代开启，实现端到端自动化、智能编排、生态协同,高,行业报告
2025-06,超自动化期,技术突破,Agentic RPA成为主流,智能代理,自动化技术,-,Agentic RPA(智能体自动化)成为主流，实现自主决策、动态适应、智能编排,高,行业报告
